TEAM,CONF,W-L,FPI,RK,TREND,PROJ W-L,WIN OUT%,6WINS%,WIN DIV%,WIN CONF%,PLAYOFF%,MAKE NC%,WIN NC%
Ohio State Buckeyes,Big Ten - East,0-0,31.5,1,--,11.8-1.0,34.3,100,75.5,71.2,82.2,57.2,36.7
Alabama Crimson Tide,SEC - West,0-0,28.2,2,--,11.1-1.6,13.6,100,74.3,40.9,62.1,38,20.4
Georgia Bulldogs,SEC - East,0-0,27.4,3,--,11.7-1.2,22.4,100,89.5,49.3,63.1,35.9,19.1
LSU Tigers,SEC - West,0-0,22.1,4,--,9.6-2.6,1.2,99.9,20.4,7.1,23.7,10.3,4.1
Texas Longhorns,Big 12,0-0,21.9,5,--,10.1-2.6,2.9,99.9,0,54.4,34.2,14.5,5.7
Michigan Wolverines,Big Ten - East,0-0,21.4,6,--,10.0-2.1,4.3,100,17.6,14.3,25.9,10.3,3.9
USC Trojans,Pac-12,0-0,19.9,7,--,10.3-2.4,4.6,99.9,0,50.2,24.7,8.6,2.7
Clemson Tigers,ACC - Atlantic,0-0,19.4,8,--,10.3-2.3,6.8,99.9,55.2,44.5,24.2,8.1,2.8
Notre Dame Fighting Irish,FBS Indep.,0-0,18.4,9,--,9.1-2.9,1.3,99.7,0,0,15.8,5.1,1.6
Penn State Nittany Lions,Big Ten - East,0-0,17.5,10,--,9.3-2.7,0.9,99.9,6.3,4.6,10.7,3.5,1
Oklahoma Sooners,Big 12,0-0,16.9,11,--,9.7-2.8,2.1,99.7,0,24.5,10.7,3.2,1
Tennessee Volunteers,SEC - East,0-0,15.2,12,--,8.2-3.9,0,98.1,5.4,1.2,2.5,0.7,0.2
Oregon Ducks,Pac-12,0-0,15,13,--,9.1-3.3,0.7,99.4,0,16.9,4.9,1.2,0.2
Florida State Seminoles,ACC - Atlantic,0-0,15,14,--,8.7-3.5,0.6,98.5,25.2,17,4.4,1.1,0.3
Utah Utes,Pac-12,0-0,14.9,15,--,8.7-3.7,0.4,98.2,0,17,3.9,1,0.2
Ole Miss Rebels,SEC - West,0-0,13.4,16,--,7.6-4.4,0,94.6,2,0.4,0.9,0.2,0
TCU Horned Frogs,Big 12,0-0,13,17,--,8.1-4.1,0.1,96,0,5.7,1.2,0.3,0.1
Florida Gators,SEC - East,0-0,12.7,18,--,6.8-5.2,0,82.2,3,0.5,0.2,0,0
Texas A&M Aggies,SEC - West,0-0,12.7,19,--,7.5-4.5,0,93.1,2.3,0.4,0.4,0.1,0
Wisconsin Badgers,Big Ten - West,0-0,12.3,20,--,8.6-3.8,0.1,98.5,47.9,5.9,1,0.2,0.1
Washington Huskies,Pac-12,0-0,11.8,21,--,7.8-4.4,0.1,93.9,0,6.4,0.6,0.2,0
Texas Tech Red Raiders,Big 12,0-0,10.8,22,--,7.5-4.6,0.1,90.8,0,3.8,0.5,0.1,0
Baylor Bears,Big 12,0-0,10.7,23,--,7.4-4.7,0,90,0,3.2,0.2,0,0
Oregon State Beavers,Pac-12,0-0,10.5,24,--,8.7-3.5,0.4,98.6,0,7.6,0.8,0.2,0
North Carolina Tar Heels,ACC - Coastal,0-0,10.2,25,--,8.2-4.2,0.2,95.8,38.2,13.9,0.5,0,0
UCF Knights,Big 12,0-0,10,26,--,7.7-4.4,0.1,92.5,0,2.5,0.2,0,0
Kansas State Wildcats,Big 12,0-0,9.8,27,--,7.4-4.7,0,88.7,0,2.9,0.1,0,0
Kentucky Wildcats,SEC - East,0-0,9.7,28,--,7.2-4.9,0,88.7,1.3,0.2,0.1,0,0
Miami Hurricanes,ACC - Coastal,0-0,9.1,29,--,7.8-4.5,0,94.3,21.8,6.3,0.1,0,0
Arkansas Razorbacks,SEC - West,0-0,9,30,--,6.8-5.2,0,84.5,0.5,0.1,0,0,0
Michigan State Spartans,Big Ten - East,0-0,8.7,31,--,6.9-5.1,0,84.4,0.4,0.2,0.1,0,0
Mississippi State Bulldogs,SEC - West,0-0,7.8,32,--,6.3-5.7,0,71.4,0.4,0,0,0,0
Minnesota Golden Gophers,Big Ten - West,0-0,7.7,33,--,6.5-5.7,0,73.7,12.1,0.9,0,0,0
Syracuse Orange,ACC - Atlantic,0-0,7.6,34,--,7.5-4.6,0.1,92.1,4,1.9,0,0,0
Pittsburgh Panthers,ACC - Coastal,0-0,7.5,35,--,7.1-5.2,0,83.7,29.4,8.1,0,0,0
NC State Wolfpack,ACC - Atlantic,0-0,7.3,36,--,7.4-4.7,0.1,88.9,6.8,3.4,0,0,0
Iowa Hawkeyes,Big Ten - West,0-0,7.3,37,--,7.4-4.8,0,89.5,20.1,1.6,0,0,0
Oklahoma State Cowboys,Big 12,0-0,6.9,38,--,7.5-4.6,0,89.9,0,2,0,0,0
Auburn Tigers,SEC - West,0-0,6.9,39,--,5.8-6.2,0,58.3,0.2,0,0,0,0
Missouri Tigers,SEC - East,0-0,6.4,40,--,6.0-6.0,0,62.8,0.5,0.1,0,0,0
UCLA Bruins,Pac-12,0-0,6.4,41,--,7.6-4.4,0,93.9,0,1.4,0,0,0
South Carolina Gamecocks,SEC - East,0-0,5.6,42,--,5.5-6.5,0,47.9,0.3,0,0,0,0
Iowa State Cyclones,Big 12,0-0,5.6,43,--,5.8-6.2,0,57.7,0,0.3,0,0,0
Maryland Terrapins,Big Ten - East,0-0,5.6,44,--,6.6-5.4,0,78.9,0.1,0,0,0,0
Illinois Fighting Illini,Big Ten - West,0-0,5.5,45,--,6.8-5.4,0,79.1,11.9,0.7,0,0,0
Louisville Cardinals,ACC - Atlantic,0-0,5.1,46,--,6.9-5.2,0,81.9,6.6,2.6,0,0,0
Wake Forest Demon Deacons,ACC - Atlantic,0-0,5,47,--,6.4-5.7,0,72.3,2,0.7,0,0,0
Cincinnati Bearcats,Big 12,0-0,4.9,48,--,6.3-5.7,0,68.9,0,0.6,0,0,0
SMU Mustangs,American,0-0,4.7,49,--,8.8-3.8,0.2,98.4,0,41.7,0,0,0
Purdue Boilermakers,Big Ten - West,0-0,4.4,50,--,5.4-6.7,0,46.5,4.5,0.3,0,0,0
California Golden Bears,Pac-12,0-0,3.3,51,--,5.6-6.4,0,53,0,0.2,0,0,0
Nebraska Cornhuskers,Big Ten - West,0-0,3.1,52,--,5.7-6.3,0,54.7,2.6,0.1,0,0,0
Duke Blue Devils,ACC - Coastal,0-0,2.9,53,--,5.4-6.6,0,47.3,3.4,0.5,0,0,0
Houston Cougars,Big 12,0-0,2.5,54,--,5.2-6.8,0,42.2,0,0.1,0,0,0
Tulane Green Wave,American,0-0,2.4,55,--,8.3-4.0,0.3,95.7,0,20.3,0,0,0
Boise State Broncos,MW - Mountain,0-0,1.7,56,--,8.3-4.3,0.2,94.6,62.6,45.9,0,0,0
West Virginia Mountaineers,Big 12,0-0,1.4,57,--,4.3-7.7,0,20.1,0,0,0,0,0
Memphis Tigers,American,0-0,1.3,58,--,8.2-4.2,0.3,95,0,15.9,0,0,0
Arizona Wildcats,Pac-12,0-0,1.1,59,--,5.5-6.5,0,48.4,0,0.2,0,0,0
BYU Cougars,Big 12,0-0,1,60,--,4.9-7.1,0,32.9,0,0,0,0,0
UTSA Roadrunners,American,0-0,0.2,61,--,7.5-4.8,0,89.6,0,11.5,0,0,0
Washington State Cougars,Pac-12,0-0,-0.2,62,--,5.5-6.5,0,49.3,0,0.1,0,0,0
Virginia Tech Hokies,ACC - Coastal,0-0,-0.3,63,--,4.9-7.1,0,35.4,3.7,0.5,0,0,0
Arizona State Sun Devils,Pac-12,0-0,-0.4,64,--,4.8-7.2,0,30.7,0,0,0,0,0
Georgia Tech Yellow Jackets,ACC - Coastal,0-0,-0.6,65,--,4.5-7.5,0,21.7,1.8,0.2,0,0,0
Marshall Thundering Herd,Sun Belt - East,0-0,-0.9,66,--,7.5-4.9,0.1,87.3,31.3,19,0,0,0
Northwestern Wildcats,Big Ten - West,0-0,-1.1,67,--,4.9-7.2,0,31.8,1,0,0,0,0
Kansas Jayhawks,Big 12,0-0,-1.2,68,--,4.1-7.9,0,16,0,0,0,0,0
Troy Trojans,Sun Belt - West,0-0,-2.2,69,--,7.8-4.5,0.1,91.6,38.1,21.3,0,0,0
Fresno State Bulldogs,MW - West,0-0,-2.5,70,--,7.5-4.9,0.1,88.9,39.4,17.7,0,0,0
Stanford Cardinal,Pac-12,0-0,-2.6,71,--,4.2-7.8,0,17.2,0,0,0,0,0
Virginia Cavaliers,ACC - Coastal,0-0,-2.8,72,--,4.5-7.5,0,24.2,1.8,0.2,0,0,0
Vanderbilt Commodores,SEC - East,0-0,-2.8,73,--,4.0-8.0,0,11.3,0,0,0,0,0
Boston College Eagles,ACC - Atlantic,0-0,-2.9,74,--,5.5-6.5,0,50.1,0.2,0,0,0,0
Indiana Hoosiers,Big Ten - East,0-0,-2.9,75,--,3.9-8.1,0,10.7,0,0,0,0,0
East Carolina Pirates,American,0-0,-3,76,--,6.3-5.8,0,70.3,0,3.8,0,0,0
Appalachian State Mountaineers,Sun Belt - East,0-0,-3.2,77,--,7.1-5.1,0,82.8,27.2,14.7,0,0,0
Rutgers Scarlet Knights,Big Ten - East,0-0,-3.2,78,--,4.1-7.9,0,12.8,0,0,0,0,0
UAB Blazers,American,0-0,-3.7,79,--,6.0-6.1,0,62.1,0,2,0,0,0
Louisiana Ragin' Cajuns,Sun Belt - West,0-0,-3.8,80,--,7.2-5.0,0,85.6,22.4,10.6,0,0,0
Toledo Rockets,MAC - West,0-0,-3.8,81,--,8.4-4.1,0.3,95.8,44.1,27.6,0,0,0
Florida Atlantic Owls,American,0-0,-4.1,82,--,5.9-6.1,0,60.7,0,2.2,0,0,0
Coastal Carolina Chanticleers,Sun Belt - East,0-0,-4.3,83,--,6.9-5.2,0,81.1,16.3,7.8,0,0,0
North Texas Mean Green,American,0-0,-4.4,84,--,6.2-5.9,0,66,0,1.3,0,0,0
South Alabama Jaguars,Sun Belt - West,0-0,-4.9,85,--,6.5-5.6,0,73.7,18.3,8.5,0,0,0
Air Force Falcons,MW - Mountain,0-0,-5.2,86,--,7.6-4.6,0.2,90.1,15.6,8.5,0,0,0
Georgia Southern Eagles,Sun Belt - East,0-0,-5.2,87,--,6.4-5.7,0,71.8,13.5,6.1,0,0,0
Western Kentucky Hilltoppers,C-USA,0-0,-5.3,88,--,8.1-4.5,0,94.1,0,39.8,0,0,0
San Diego State Aztecs,MW - West,0-0,-5.4,89,--,6.4-5.9,0,69.8,20.7,7.5,0,0,0
Wyoming Cowboys,MW - Mountain,0-0,-5.5,90,--,6.4-5.8,0,71.8,14.8,8,0,0,0
James Madison Dukes,Sun Belt - East,0-0,-6.1,91,--,6.1-5.9,0,65.1,0,0,0,0,0
Georgia State Panthers,Sun Belt - East,0-0,-6.4,92,--,6.1-6.0,0,62.9,9.2,4.1,0,0,0
Southern Miss Golden Eagles,Sun Belt - West,0-0,-6.6,93,--,5.6-6.5,0,51.3,11.8,4.5,0,0,0
Ohio Bobcats,MAC - East,0-0,-6.7,94,--,7.1-5.3,0.1,81.4,36.5,18.1,0,0,0
Colorado Buffaloes,Pac-12,0-0,-7.1,95,--,2.6-9.4,0,1.7,0,0,0,0,0
Miami (OH) RedHawks,MAC - East,0-0,-7.1,96,--,6.9-5.4,0,80.3,31.1,15.7,0,0,0
Liberty Flames,C-USA,0-0,-7.2,97,--,8.1-4.3,0.3,93.4,0,23.4,0,0,0
Tulsa Golden Hurricane,American,0-0,-7.4,98,--,4.9-7.2,0,31.4,0,0.4,0,0,0
Arkansas State Red Wolves,Sun Belt - West,0-0,-7.8,99,--,5.6-6.5,0,51.1,6.8,2.3,0,0,0
San José State Spartans,MW - West,0-0,-7.9,100,--,5.2-6.9,0,40.2,12.7,4,0,0,0
Louisiana Tech Bulldogs,C-USA,0-0,-8.2,101,--,6.8-5.5,0,78.8,0,16.7,0,0,0
Army Black Knights,FBS Indep.,0-0,-8.3,102,--,5.9-6.1,0,62.3,0,0,0,0,0
Buffalo Bulls,MAC - East,0-0,-8.4,103,--,6.2-6.0,0,64.5,18.3,8.4,0,0,0
South Florida Bulls,American,0-0,-8.4,104,--,5.0-7.0,0,37.4,0,0.3,0,0,0
UNLV Rebels,MW - West,0-0,-8.7,105,--,5.9-6.2,0,59.5,11.2,2.6,0,0,0
Central Michigan Chippewas,MAC - West,0-0,-9.2,106,--,5.4-6.8,0,45,13.5,6.4,0,0,0
Rice Owls,American,0-0,-9.3,107,--,4.8-7.2,0,30.9,0,0.2,0,0,0
Navy Midshipmen,American,0-0,-9.3,108,--,4.9-7.1,0,33.5,0,0.3,0,0,0
Eastern Michigan Eagles,MAC - West,0-0,-9.4,109,--,6.8-5.3,0,79.8,13.2,6.2,0,0,0
Temple Owls,American,0-0,-9.4,110,--,4.8-7.3,0,29.7,0,0.1,0,0,0
Ball State Cardinals,MAC - West,0-0,-9.5,111,--,5.5-6.6,0,49.8,12.7,5.9,0,0,0
Middle Tennessee Blue Raiders,C-USA,0-0,-9.6,112,--,6.7-5.7,0,76.7,0,13.8,0,0,0
Utah State Aggies,MW - Mountain,0-0,-9.7,113,--,5.3-6.8,0,42.8,4,1.6,0,0,0
Northern Illinois Huskies,MAC - West,0-0,-10,114,--,5.8-6.3,0,56,11.9,5.3,0,0,0
Old Dominion Monarchs,Sun Belt - East,0-0,-10.1,115,--,4.5-7.5,0,26,2.6,0.8,0,0,0
Hawai'i Rainbow Warriors,MW - West,0-0,-10.2,116,--,5.9-7.2,0,59.2,8.5,1.7,0,0,0
Nevada Wolf Pack,MW - West,0-0,-10.4,117,--,5.3-6.8,0,44,7.6,1.6,0,0,0
Charlotte 49ers,American,0-0,-10.9,118,--,4.1-7.9,0,16.2,0,0.1,0,0,0
UConn Huskies,FBS Indep.,0-0,-11,119,--,5.0-7.0,0,34.5,0,0,0,0,0
Western Michigan Broncos,MAC - West,0-0,-11.4,120,--,4.4-7.7,0,20.7,4.5,1.7,0,0,0
Texas State Bobcats,Sun Belt - West,0-0,-11.5,121,--,4.5-7.5,0,24.3,2.1,0.4,0,0,0
Colorado State Rams,MW - Mountain,0-0,-11.6,122,--,4.7-7.4,0,28.6,2,0.7,0,0,0
Kent State Golden Flashes,MAC - East,0-0,-11.8,123,--,4.6-7.5,0,25.7,7.6,2.6,0,0,0
UTEP Miners,C-USA,0-0,-13.8,124,--,5.5-6.7,0,47.7,0,4.2,0,0,0
Bowling Green Falcons,MAC - East,0-0,-14.1,125,--,4.3-7.7,0,20.8,4.1,1.3,0,0,0
New Mexico Lobos,MW - Mountain,0-0,-14.6,126,--,4.6-7.4,0,27.1,0.9,0.3,0,0,0
UL Monroe Warhawks,Sun Belt - West,0-0,-15.2,127,--,3.4-8.6,0,6.2,0.5,0.1,0,0,0
Akron Zips,MAC - East,0-0,-16,128,--,4.0-8.1,0,14.1,2.5,0.8,0,0,0
Florida International Panthers,C-USA,0-0,-16.1,129,--,4.3-7.7,0,21.9,0,1.2,0,0,0
New Mexico State Aggies,C-USA,0-0,-16.3,130,--,5.2-7.8,0,42.1,0,0.9,0,0,0
UMass Minutemen,FBS Indep.,0-0,-17.2,133,--,3.5-8.5,0,7.8,0,0,0,0,0